1,1.3.6.1.4.1.3930.37.2.2.3.1.0,Stream IP rate
1,1.3.6.1.4.1.3930.37.2.2.11.5.0,Lost pkt
1,1.3.6.1.4.1.3930.37.2.2.11.4.0,Restore pkt
1,1.3.6.1.4.1.3930.37.2.2.11.1.0,Recieve pkt
1,1.3.6.1.4.1.3930.37.2.2.3.11.0,Error correction mode (0) none (1)FEC (2)ARQ
0.001,1.3.6.1.4.1.3930.37.2.2.3.21,MDI delay factor
1,1.3.6.1.4.1.3930.37.2.2.3.22.0,MDI loss rate
1,1.3.6.1.4.1.3930.37.3.2.100.2.12.0,SBS actual
1,1.3.6.1.4.1.3930.37.3.2.100.3.12.0,ARQ ret actual
1,1.3.6.1.4.1.3930.37.2.2.2.2.0,Number of TS in a pkt
1,1.3.6.1.4.1.3930.37.2.2.11.6.0,ARQ TX count

